id,question,answers
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__License Grant","Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","HEMISPHERX hereby grants to SCIEN and SCIEN hereby accepts the right, privilege and exclusive license to use of ""Interferon alfa-n3 (human leukocyte derived)"" solely in connection with the terms of the Sales, Marketing, Distribution and Supply Agreement of Product in the Territory for the Term of this Agreement., Subject to the condition above, HEMISPHERX hereby grants SCIEN the exclusive license to sell, market, and distribute Product for use in the Field in the Territory for Direct Access/EAP and Regulatory Agency-Approved (RAA) purposes., SCIEN shall not use HEMISPHERX Intellectual Property nor sell nor permit the sale of any products that use the HEMISPHERX Intellectual Property outside the Territory or knowingly sell or have sold any products that use the HEMISPHERX Intellectual Property to any party in or outside the Territory for export or sale outside the Territory, without HEMISPHERX's prior written consent."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Non-Transferable License","Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Affiliate License-Licensor","Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Affiliate License-Licensee","Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Unlimited/All-You-Can-Eat-License","Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Irrevocable Or Perpetual License","Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Source Code Escrow","Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Post-Termination Services","Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","In the event of termination of this Agreement, SCIEN will have the right to complete all contracts for the sale or disposition of Product) under which SCIEN is obligated on the date of termination, provided SCIEN pays the associated Transfer Price and provided all such sales or dispositions are completed within three (3) months after the date of termination., Thereafter, HEMISPHERX shall purchase from the SCIEN all remaining stock of Product that is of merchantable quality at the same price as was paid by SCIEN., In the event this Agreement is terminated by either Party for any reason whatsoever, HEMISPHERX agrees to reasonable efforts to make Product available to SCIEN for a period of three (3) months after the termination date at the same Transfer Price and under the same terms of payment., Raw data, documentation, batch records, source documents, product disposition records and reports (collectively, ""Documentation"") shall be retained by SCIEN for a minimum period of two (2) years after termination or expiration of the Specialty Distributor Purchase and Service Agreement between HEMISPHERX and SCIEN., In the event of termination of this license for any reason, SCIEN shall within 6months (as described in the Termination clause), cease all use of the ""Interferon alfa-n3 (human leukocyte derived)""."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Audit Rights","Highlight the parts (if any) of this contract related to ""Audit Rights"" that should be reviewed by a lawyer. Details: Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?","HEMISPHERX may perform audits for initial qualification of SCIEN as well as periodic audits and ""for cause"" audits., SCIEN will make every reasonable effort to accommodate the special circumstances that may arise pursuant to ""for cause"" audits., Prior to an audit HEMISPHERX will communicate to SCIEN the scope of the audit., HEMISPHERX shall permit SCIEN or its agent, at SCIENs' expense, to conduct periodic audits of HEMISPHERX's Quality System and Manufacturing records relating to HEMISPHERX's performance under this Agreement., HEMISPHERX will be permitted to conduct periodic audits of the subcontractors to assure compliance to applicable GMP's, GLP's and federal regulations (CFR's)., The audits shall be conducted upon reasonable advance notice during regular business hours at HEMISPHERX's principal office and in such a manner as not to unduly interfere with HEMISPHERX's operations., HEMISPHERX will prepare a written report of the results of the audit and forward a copy to SCIEN., At mutually agreed upon times, HEMISPHERX may review standard operating and other quality control procedures and records and the records of SCIEN relating to the Agreement., Such routine and general oversight review is to be requested at least twenty (20) business days in advance, limited to two (2) persons, completed within one (1) to two (2) business days and shall be offered to HEMISPHERX one (1) time each calendar year., During the retention period, documentation shall be available for inspection by HEMISPHERX, its authorized agents and authorized government agencies."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Uncapped Liability","Highlight the parts (if any) of this contract related to ""Uncapped Liability"" that should be reviewed by a lawyer. Details: Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.",
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Cap On Liability","Highlight the parts (if any) of this contract related to ""Cap On Liability"" that should be reviewed by a lawyer. Details: Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.","IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES RESULTING FROM THE LICENSE GRANTED PURSUANT TO THIS AGREEMENT OR THE USE OR COMMERCIAL DEVELOPMENT OF PRODUCT."
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Liquidated Damages","Highlight the parts (if any) of this contract related to ""Liquidated Damages"" that should be reviewed by a lawyer. Details: Does the contract contain a clause that would award either party liquidated damages for breach or a fee upon the termination of a contract (termination fee)?",HEMISPHERX will have the option at any time to buy out this Agreement.
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement__Warranty Duration","Highlight the parts (if any) of this contract related to ""Warranty Duration"" that should be reviewed by a lawyer. Details: What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",The following products are eligible for return and reimbursement:   · Outdated Product: Product within two (2) months prior or six (6) months past expiration date and noted on product;   AND   · Product in its original container and bearing its original label.
